Title,Description,Keywords,Interests
Lambda-Calculus and Combinators: An Introduction,Combinatory logic and λ-calculus were originally devised in the 1920s for investigating the foundations of mathematics using the basis concept of 'operation' instead of 'set'. They have since evolved into important tools for the development and study of programming languages.The authors' previous book Introduction to Combinators and λ-Calculus served as the main reference...more,"operation,set,λ-calculus",
A study on the use of Boundary Equilibrium GAN for Approximate Frontalization of Unconstrained Faces to aid in Surveillance,"Face frontalization is the process of synthesizing frontal facing views of
faces given its angled poses. We implement a generative adversarial network
(GAN) with spherical linear interpolation (Slerp) for frontalization of
unconstrained facial images. Our special focus is intended towards the
generation of approximate frontal faces of the side posed images captured from
surveillance cameras. Specifically, the present work is a comprehensive study
on the implementation of an auto-encoder based Boundary Equilibrium GAN (BEGAN)
to generate frontal faces using an interpolation of a side view face and its
mirrored view. To increase the quality of the interpolated output we implement
a BEGAN with Slerp. This approach could produce a promising output along with a
faster and more stable training for the model. The BEGAN model additionally has
a balanced generator-discriminator combination, which prevents mode collapse
along with a global convergence measure. It is expected that such an
approximate face generation model would be able to replace face composites used
in surveillance and crime detection.","BEGAN,GAN,Face",
Learn Spring for Android Application Development,"A hands-on guide to Android programming with Spring MVC, Spring Boot, and Spring Security","Spring,MVC,Boot",
Self-learned Intelligence for Integrated Decision and Control of Automated Vehicles at Signalized Intersections,"Intersection is one of the most complex and accident-prone urban scenarios
for autonomous driving wherein making safe and computationally efficient
decisions is non-trivial. Current research mainly focuses on the simplified
traffic conditions while ignoring the existence of mixed traffic flows, i.e.,
vehicles, cyclists and pedestrians. For urban roads, different participants
leads to a quite dynamic and complex interaction, posing great difficulty to
learn an intelligent policy. This paper develops the dynamic permutation state
representation in the framework of integrated decision and control (IDC) to
handle signalized intersections with mixed traffic flows. Specially, this
representation introduces an encoding function and summation operator to
construct driving states from environmental observation, capable of dealing
with different types and variant number of traffic participants. A constrained
optimal control problem is built wherein the objective involves tracking
performance and the constraints for different participants and signal lights
are designed respectively to assure safety. We solve this problem by offline
optimizing encoding function, value function and policy function, wherein the
reasonable state representation will be given by the encoding function and then
served as the input of policy and value function. An off-policy training is
designed to reuse observations from driving environment and backpropagation
through time is utilized to update the policy function and encoding function
jointly. Verification result shows that the dynamic permutation state
representation can enhance the driving performance of IDC, including comfort,
decision compliance and safety with a large margin. The trained driving policy
can realize efficient and smooth passing in the complex intersection,
guaranteeing driving intelligence and safety simultaneously.","function,driving,policy",
Effective Python: 59 Specific Ways to Write Better Python,"Each item in Slatkin s ""Effective Python"" teaches a self-contained lesson with its own source code. This makes the book random-access: Items are easy to browse and study in whatever order the reader needs. I will be recommending ""Effective Python"" to students as an admirably compact source of mainstream advice on a very broad range of topics for the intermediate Python pro...more","Effective,Python,Slatkin",
Best of Game Programming Gems,"Welcome to a collection of the most valuable and timeless articles from the essential reference series for game developers. ""Best of Game Programming Gems"" combines the greatest cutting-edge, ready-to-use techniques contributed by industry experts to volumes 1-6 of the Game Programming Gems series. Each article was carefully chosen by the editors and compiled into one best ...more","game,Programming,Gems",
The Design of Design: Essays from a Computer Scientist,"Making Sense of Design Effective design is at the heart of everything from software development to engineering to architecture. But what do we really know about the design process? What leads to effective, elegant designs? The Design of Design addresses these questions. These new essays by Fred Brooks contain extraordinary insights for designers in every discipline. Brooks ...more","Design,Sense,Effective",
Joint marginal structural models to estimate the causal effects of multiple longitudinal treatments in continuous time with application to COVID-19,"To draw real-world evidence about the comparative effectiveness of complex
time-varying treatment regimens on patient survival, we develop a joint
marginal structural proportional hazards model and novel weighting schemes in
continuous time to account for time-varying confounding and censoring. Our
methods formulate complex longitudinal treatments with multiple ""start/stop""
switches as the recurrent events with discontinuous intervals of treatment
eligibility. We derive the weights in continuous time to handle a complex
longitudinal dataset on its own terms, without the need to discretize or
artificially align the measurement times. We further propose using machine
learning models designed for censored survival data with time-varying
covariates and the kernel function estimator of the baseline intensity to
efficiently estimate the continuous-time weights. Our simulations demonstrate
that the proposed methods provide better bias reduction and nominal coverage
probability when analyzing observational longitudinal survival data with
irregularly spaced time intervals, compared to conventional methods that
require aligned measurement time points. We apply the proposed methods to a
large-scale COVID-19 dataset to estimate the causal effects of several COVID-19
treatment strategies on in-hospital mortality or ICU admission, and provide new
insights relative to findings from randomized trials.","time,complex,treatment",
Optimal Precoder Design for MIMO-OFDM-based Joint Automotive Radar-Communication Networks,"Large-scale deployment of connected vehicles with cooperative awareness
technologies increases the demand for vehicle-to-everything (V2X) communication
spectrum in 5.9 GHz that is mainly allocated for the exchange of safety
messages. To supplement V2X communication and support the high data rates
needed by broadband applications, the millimeter-wave (mmWave) automotive radar
spectrum at 76-81 GHz can be utilized. For this purpose, joint
radar-communication systems have been proposed in the literature to perform
both functions using the same waveform and hardware. While multiple-input and
multiple-output (MIMO) communication with multiple users enables independent
data streaming for high throughput, MIMO radar processing provides
high-resolution imaging that is crucial for safety-critical systems. However,
employing conventional precoding methods designed for communication generates
directional beams that impair MIMO radar imaging and target tracking
capabilities during data streaming. In this paper, we propose a MIMO joint
automotive radar-communication (JARC) framework based on orthogonal frequency
division multiplexing (OFDM) waveform. First, we show that the MIMO-OFDM
preamble can be exploited for both MIMO radar processing and estimation of the
communication channel. Then, we propose an optimal precoder design method that
enables high accuracy target tracking while transmitting independent data
streams to multiple receivers. The proposed methods provide high-resolution
radar imaging and high throughput capabilities for MIMO JARC networks. Finally,
we evaluate the efficacy of the proposed methods through numerical simulations.","MIMO,radar,communication",
Few-shot Learning for Time-series Forecasting,"Time-series forecasting is important for many applications. Forecasting
models are usually trained using time-series data in a specific target task.
However, sufficient data in the target task might be unavailable, which leads
to performance degradation. In this paper, we propose a few-shot learning
method that forecasts a future value of a time-series in a target task given a
few time-series in the target task. Our model is trained using time-series data
in multiple training tasks that are different from target tasks. Our model uses
a few time-series to build a forecasting function based on a recurrent neural
network with an attention mechanism. With the attention mechanism, we can
retrieve useful patterns in a small number of time-series for the current
situation. Our model is trained by minimizing an expected test error of
forecasting next timestep values. We demonstrate the effectiveness of the
proposed method using 90 time-series datasets.","Time-series,target,task",
Stealing Black-Box Functionality Using The Deep Neural Tree Architecture,"This paper makes a substantial step towards cloning the functionality of
black-box models by introducing a Machine learning (ML) architecture named Deep
Neural Trees (DNTs). This new architecture can learn to separate different
tasks of the black-box model, and clone its task-specific behavior. We propose
to train the DNT using an active learning algorithm to obtain faster and more
sample-efficient training. In contrast to prior work, we study a complex
""victim"" black-box model based solely on input-output interactions, while at
the same time the attacker and the victim model may have completely different
internal architectures. The attacker is a ML based algorithm whereas the victim
is a generally unknown module, such as a multi-purpose digital chip, complex
analog circuit, mechanical system, software logic or a hybrid of these. The
trained DNT module not only can function as the attacked module, but also
provides some level of explainability to the cloned model due to the tree-like
nature of the proposed architecture.","Deep,Machine,model",
Design of an Internet of Things - based multi-channel temperature monitoring system,"In the scope of the Jiangmen Underground Neutrino Observatory (JUNO) project,
6 back-end card (BEC) mezzanines connected to one BEC base board are in charge
of compensating the attenuated incoming data from 48 front-end channels over 48
100-meter-long ethernet cables. Each of the mezzanines has 16 equalizers that
may be subject to overheating. It is important therefore to monitor their
temperature in real time. However, collecting data from a relatively large
(1080) number of mezzanines is not a trivial task. In this work we propose a
solution based on Wi-Fi mesh. Both the technical details and the first test
results performed are be reported.","BEC,JUNO,Observatory",
Neural Contextual Anomaly Detection for Time Series,"We introduce Neural Contextual Anomaly Detection (NCAD), a framework for
anomaly detection on time series that scales seamlessly from the unsupervised
to supervised setting, and is applicable to both univariate and multivariate
time series. This is achieved by effectively combining recent developments in
representation learning for multivariate time series, with techniques for deep
anomaly detection originally developed for computer vision that we tailor to
the time series setting. Our window-based approach facilitates learning the
boundary between normal and anomalous classes by injecting generic synthetic
anomalies into the available data. Moreover, our method can effectively take
advantage of all the available information, be it as domain knowledge, or as
training labels in the semi-supervised setting. We demonstrate empirically on
standard benchmark datasets that our approach obtains a state-of-the-art
performance in these settings.","time,NCAD,series",
Android Studio 4.0 Development Essentials - Java Edition,Explore Android Studio 4.0 and update your skills to build modern applications in Java,"Studio,Java,Android",
Warped Input Gaussian Processes for Time Series Forecasting,"We introduce a Gaussian process-based model for handling of non-stationarity.
The warping is achieved non-parametrically, through imposing a prior on the
relative change of distance between subsequent observation inputs. The model
allows the use of general gradient optimization algorithms for training and
incurs only a small computational overhead on training and prediction. The
model finds its applications in forecasting in non-stationary time series with
either gradually varying volatility, presence of change points, or a
combination thereof. We evaluate the model on synthetic and real-world time
series data comparing against both baseline and known state-of-the-art
approaches and show that the model exhibits state-of-the-art forecasting
performance at a lower implementation and computation cost.","Gaussian,model,non-stationarity",
Scheduling Selenium TestNG tests via Jenkins CI/CD tool,"Selenium is one of the most widely used test automation tools for UI functional testing. The maximum ROI of test automation comes from its frequent execution either as a part of the CI/CD pipeline or running them often Jenkins is one of the most widely used DevOps tools used in automating the complete life cycle of Continuous Integration, Delivery, and Deployment. In this 1-hour long project-based course, you will learn concepts like creating a job in Jenkins, fetching code from source code management tool like GitHub, executing and scheduling Selenium and TestNG tests. Note: This course works best for learners who are based in the North America region. We�re currently working on providing the same experience in other regions.","widely,automation,Jenkins",
The Introduction to Quantum Computing,"""Quantum Computing"" is among those terms that are widely discussed but often poorly understood. The reasons of this state of affairs may be numerous, but possibly the most significant among them is that it is a relatively new scientific area, and it's clear interpretations are not yet widely spread. The main obstacle here is the word ""quantum"", which refers to quantum mechanics - one of the most counter-intuitive ways to describe our world. But fear not! This is not a course on quantum mechanics. We will gently touch it in the beginning and then leave it apart, concentrating on the mathematical model of quantum computer, generously developed for us by physicists. This doesn't mean that the whole course is mathematics either (however there will be enough of it). We will build a simple working quantum computer with our bare hands, and we will consider some algorithms, designed for bigger quantum computers which are not yet developed. The course material is designed for those computer scientists, engineers and programmers who believe, that there's something else than just HLL programming, that will move our computing power further into infinity. Since the course is introductory, the only prerequisites are complex numbers and linear algebra. These two are required and they have to be enough. Happy learning!","Quantum,widely,computer",
The Master Algorithm: How the Quest for the Ultimate Learning Machine Will Remake Our World,"A thought-provoking and wide-ranging exploration of machine learning and the race to build computer intelligences as flexible as our ownIn the world's top research labs and universities, the race is on to invent the ultimate learning algorithm: one capable of discovering any knowledge from data, and doing anything we want, before we even ask. In The Master Algorithm, Pedro...more","race,algorithm,learning",
Release It!: Design and Deploy Production-Ready Software (Pragmatic Programmers),"Whether it's in Java, .NET, or Ruby on Rails, getting your application ready to ship is only half the battle. Did you design your system to survivef a sudden rush of visitors from Digg or Slashdot? Or an influx of real world customers from 100 different countries? Are you ready for a world filled with flakey networks, tangled databases, and impatient users?If you're a deve...more","NET,Java,Rails",
Potential-Based Shaping and Q-Value Initialization are Equivalent,"Shaping has proven to be a powerful but precarious means of improving
reinforcement learning performance. Ng, Harada, and Russell (1999) proposed the
potential-based shaping algorithm for adding shaping rewards in a way that
guarantees the learner will learn optimal behavior. In this note, we prove
certain similarities between this shaping algorithm and the initialization step
required for several reinforcement learning algorithms. More specifically, we
prove that a reinforcement learner with initial Q-values based on the shaping
algorithm's potential function make the same updates throughout learning as a
learner receiving potential-based shaping rewards. We further prove that under
a broad category of policies, the behavior of these two learners are
indistinguishable. The comparison provides intuition on the theoretical
properties of the shaping algorithm as well as a suggestion for a simpler
method for capturing the algorithm's benefit. In addition, the equivalence
raises previously unaddressed issues concerning the efficiency of learning with
potential-based shaping.","Shaping,algorithm,learning",
Essentials of Corporate Finance Capstone,The Capstone Project is the final part of the Essentials of Corporate Financial Analysis and Decision-Making MOOC Specialization. The Capstone is designed to allow students to bring together the skills acquired and knowledge gained over the preceding four courses of the Specialization by taking on the role of a financial analyst tasked with advising a wealthy private client on a significant strategic investment in a large listed firm operating across the globe. View the MOOC promotional video here: http://tinyurl.com/j9fqv25,"Capstone,Specialization,Project",
Ext.NET Web Application Development,"If you�re looking to build .NET based rich internet applications, look no further. This is the ideal...","NET,build,applications",
WordPress 3 Site Blueprints,"With a little knowledge of HTML and CSS, you can kiss goodbye to third-party themes for your self-ho...","CSS,HTML,self-ho",
Joint Search of Optimal Topology and Trajectory for Planar Linkages,"We present an algorithm to compute planar linkage topology and geometry,
given a user-specified end-effector trajectory. Planar linkage structures
convert rotational or prismatic motions of a single actuator into an
arbitrarily complex periodic motion, \refined{which is an important component
when building low-cost, modular robots, mechanical toys, and foldable
structures in our daily lives (chairs, bikes, and shelves). The design of such
structures require trial and error even for experienced engineers. Our research
provides semi-automatic methods for exploring novel designs given high-level
specifications and constraints.} We formulate this problem as a non-smooth
numerical optimization with quadratic objective functions and non-convex
quadratic constraints involving mixed-integer decision variables (MIQCQP). We
propose and compare three approximate algorithms to solve this problem:
mixed-integer conic-programming (MICP), mixed-integer nonlinear programming
(MINLP), and simulated annealing (SA). We evaluated these algorithms searching
for planar linkages involving $10-14$ rigid links. Our results show that the
best performance can be achieved by combining MICP and MINLP, leading to a
hybrid algorithm capable of finding the planar linkages within a couple of
hours on a desktop machine, which significantly outperforms the SA baseline in
terms of optimality. We highlight the effectiveness of our optimized planar
linkages by using them as legs of a walking robot.","planar,structures,linkages",
Asymptotically Efficient Off-Policy Evaluation for Tabular Reinforcement Learning,"We consider the problem of off-policy evaluation for reinforcement learning,
where the goal is to estimate the expected reward of a target policy $\pi$
using offline data collected by running a logging policy $\mu$. Standard
importance-sampling based approaches for this problem suffer from a variance
that scales exponentially with time horizon $H$, which motivates a splurge of
recent interest in alternatives that break the ""Curse of Horizon"" (Liu et al.
2018, Xie et al. 2019). In particular, it was shown that a marginalized
importance sampling (MIS) approach can be used to achieve an estimation error
of order $O(H^3/ n)$ in mean square error (MSE) under an episodic Markov
Decision Process model with finite states and potentially infinite actions. The
MSE bound however is still a factor of $H$ away from a Cramer-Rao lower bound
of order $\Omega(H^2/n)$. In this paper, we prove that with a simple
modification to the MIS estimator, we can asymptotically attain the Cramer-Rao
lower bound, provided that the action space is finite. We also provide a
general method for constructing MIS estimators with high-probability error
bounds.","policy,MIS,horizon",
Refactoring: Improving the Design of Existing Code,"As the application of object technology—particularly the Java programming language—has become commonplace, a new problem has emerged to confront the software development community. Significant numbers of poorly designed programs have been created by less-experienced developers, resulting in applications that are inefficient and hard to maintain and extend. Increasingly, so ...more","Java,technology,language",
Computer Systems: A Programmer's Perspective,"For Computer Organization and Architecture and Computer Systems courses in CS and EE and ECE departments. Developed out of an introductory course at Carnegie Mellon University, this text explains the important and enduring concepts underlying all computer systems, and shows the concrete ways that these ideas affect the correctness, performance, and utility of application p ...more","Computer,Organization,Architecture",
Analyzing Market Attractiveness Using Creately,"By the end of this 2 hour-long guided project, you will be fluent in identifying and analyzing business markets and how to discover their attractiveness to new products and services. This project is designed to engage and harness your visionary and exploratory abilities. You will be using proven models in competitive strategy and the Creately platform to explore and analyze the factors that contribute to business success. This is an important step for individuals or companies wanting to explore new markets for products or services. You will engage in evaluating through examples and hands-on practice examining business immediate forces shaping markets including competitors, suppliers, buyers, threats of new businesses entering the segment, and substitute products. You will be ready to take an entrepreneurial idea through a scientific and logical process, helping you validate your ideas for new business or service. This Course furthers the knowledge and skills acquired during ""Analyzing Macro-Environmental Factors Using Creately"", and is important step in engineering a successful product or service.","business,project,products",
Python Programming Books Set: Python Programming for Beginners & Complete Guide for Python Programming,"Quick & Easy Guide to Python Programming For Beginners These Books Set is for those who are interested in learning Python programming language. The book ""Python Programming For Beginners"" and ""Complete Guide For Python Programming"" are Quick and Easy Guide for Programmers to learn python programming Language. These books include all the basics of python, data structures, o ...more","Programming,Python,Guide",
PhiNets: a scalable backbone for low-power AI at the edge,"In the Internet of Things era, where we see many interconnected and
heterogeneous mobile and fixed smart devices, distributing the intelligence
from the cloud to the edge has become a necessity. Due to limited computational
and communication capabilities, low memory and limited energy budget, bringing
artificial intelligence algorithms to peripheral devices, such as the end-nodes
of a sensor network, is a challenging task and requires the design of
innovative methods. In this work, we present PhiNets, a new scalable backbone
optimized for deep-learning-based image processing on resource-constrained
platforms. PhiNets are based on inverted residual blocks specifically designed
to decouple the computational cost, working memory, and parameter memory, thus
exploiting all the available resources. With a YoloV2 detection head and Simple
Online and Realtime Tracking, the proposed architecture has achieved the
state-of-the-art results in (i) detection on the COCO and VOC2012 benchmarks,
and (ii) tracking on the MOT15 benchmark. PhiNets reduce the parameter count of
87% to 93% with respect to previous state-of-the-art models (EfficientNetv1,
MobileNetv2) and achieve better performance with lower computational cost.
Moreover, we demonstrate our approach on a prototype node based on a STM32H743
microcontroller (MCU) with 2MB of internal Flash and 1MB of RAM and achieve
power requirements in the order of 10 mW. The code for the PhiNets is publicly
available on GitHub.","Internet,Things,devices",
Game Programming Gems 4,"Uncover the secrets of the game industry's best programmers with the newest volume of the Game Programming Gems series With over 60 all new techniques, Game Programming Gems 4 continues to be the definitive resource for developers. Written by expert game developers who make today's amazing games, these articles not only provide quick solutions to cutting-edge problems, but ...more","Programming,Gems,game",
Learning to Steer by Mimicking Features from Heterogeneous Auxiliary Networks,"The training of many existing end-to-end steering angle prediction models
heavily relies on steering angles as the supervisory signal. Without learning
from much richer contexts, these methods are susceptible to the presence of
sharp road curves, challenging traffic conditions, strong shadows, and severe
lighting changes. In this paper, we considerably improve the accuracy and
robustness of predictions through heterogeneous auxiliary networks feature
mimicking, a new and effective training method that provides us with much
richer contextual signals apart from steering direction. Specifically, we train
our steering angle predictive model by distilling multi-layer knowledge from
multiple heterogeneous auxiliary networks that perform related but different
tasks, e.g., image segmentation or optical flow estimation. As opposed to
multi-task learning, our method does not require expensive annotations of
related tasks on the target set. This is made possible by applying contemporary
off-the-shelf networks on the target set and mimicking their features in
different layers after transformation. The auxiliary networks are discarded
after training without affecting the runtime efficiency of our model. Our
approach achieves a new state-of-the-art on Udacity and Comma.ai, outperforming
the previous best by a large margin of 12.8% and 52.1%, respectively.
Encouraging results are also shown on Berkeley Deep Drive (BDD) dataset.","steering,networks,auxiliary",
Interventional Sum-Product Networks: Causal Inference with Tractable Probabilistic Models,"While probabilistic models are an important tool for studying causality,
doing so suffers from the intractability of inference. As a step towards
tractable causal models, we consider the problem of learning interventional
distributions using sum-product networks (SPNs) that are over-parameterized by
gate functions, e.g., neural networks. Providing an arbitrarily intervened
causal graph as input, effectively subsuming Pearl's do-operator, the gate
function predicts the parameters of the SPN. The resulting interventional SPNs
are motivated and illustrated by a structural causal model themed around
personal health. Our empirical evaluation on three benchmark data sets as well
as a synthetic health data set clearly demonstrates that interventional SPNs
indeed are both expressive in modelling and flexible in adapting to the
interventions.","SPNs,causal,causality",
DSA,"The authors' treatment of data structures in DSA is unified by an informal notion of ""abstract data types,"" allowing readers to compare different implementations of the same concept. Algorithm design techniques are also stressed and basic algorithm analysis is covered. Most of the programs are written in Pascal.","data,structures,abstract",
Soft Skills: The Software Developer's Life Manual,"Soft Skills: The software developer's life manual is a unique guide, offering techniques and practices for a more satisfying life as a professional software developer. In it, developer and life coach John Sonmez addresses a wide range of important ""soft"" topics, from career and productivity to personal finance and investing, and even fitness and relationships, all from a d ...more","Skills,software,developer",
The Boost C++ Libraries,"The second edition of ""The Boost C++ Libraries"" introduces 72 Boost libraries that provide a wide range of useful capabilities. They help you manage memory and process strings more easily. They provide containers and other data structures that go well beyond what the standard library offers. They make it easy to build platform-independent network applications. Simply put, ...more","Boost,Libraries,introduces",
Artificial Intelligence in the Global South (AI4D): Potential and Risks,"Artificial intelligence is becoming more widely available in all parts of the
world. This has created many previously unforeseen possibilities for addressing
the challenges outlined in the Sustainable Development Goals in the Global
South. However, the use of AI in such contexts brings with it a unique set of
risks and challenges. Among these are the potential for Governments to use such
technologies to suppress their own people, and the ethical questions arising
from implementing AI primarily designed and developed in the Global North into
vastly different social, cultural, and political environments in the Global
South. This paper examines the key issues and questions arising in the emerging
sub-field of AI for global development (AI4D) and the potential and risks
associated with using such technologies in the Global South. We propose that
although there are many risks associated with the use of AI, the potential
benefits are enough to warrant detailed research and investigation of the most
appropriate and effective ways to design, develop, implement, and use such
technologies in the Global South. We conclude by calling for the wider ICT4D
community to continue to conduct detailed research and investigation of all
aspects of AI4D.","Global,South,technologies",
Recent Developments in Inference: Practicalities for Applied Economics,"We provide a review of recent developments in the calculation of standard
errors and test statistics for statistical inference. While much of the focus
of the last two decades in economics has been on generating unbiased
coefficients, recent years has seen a variety of advancements in correcting for
non-standard standard errors. We synthesize these recent advances in addressing
challenges to conventional inference, like heteroskedasticity, clustering,
serial correlation, and testing multiple hypotheses. We also discuss recent
advancements in numerical methods, such as the bootstrap, wild bootstrap, and
randomization inference. We make three specific recommendations. First, applied
economists need to clearly articulate the challenges to statistical inference
that are present in data as well as the source of those challenges. Second,
modern computing power and statistical software means that applied economists
have no excuse for not correctly calculating their standard errors and test
statistics. Third, because complicated sampling strategies and research designs
make it difficult to work out the correct formula for standard errors and test
statistics, we believe that in the applied economics profession it should
become standard practice to rely on asymptotic refinements to the distribution
of an estimator or test statistic via bootstrapping. Throughout, we reference
built-in and user-written Stata commands that allow one to quickly calculate
accurate standard errors and relevant test statistics.","errors,standard,test",
Classical papers in molecular genetics,"You have all heard about the DNA double helix and genes. Many of you know that mutations occur randomly, that the DNA sequence is read by successive groups of three bases (the codons), that many genes encode enzymes, and that gene expression can be regulated. These concepts were proposed on the basis of astute genetic experiments, as well as often on biochemical results. The original articles were these concepts appeared are however not frequently part of the normal curriculum of biologists, biochemists and medical students. This course proposes to read study and discuss a small selection of these classical papers, and to put these landmarks in their historical context. Most of the authors displayed interesting personal histories and many of their contributions go beyond not only the papers we will read but probably all their scientific papers. Our understanding of the scientific process, of the philosophy underlying the process of scientific discovery, and on the integration of new concepts is not only important for the history of science but also for the mental development of creative science.","DNA,genes,concepts",
Cross-Platform Game Programming (Game Development) (Charles River Media Game Development),"With many of today's games being released simultaneously on all platforms, the need for a good cross-platform development strategy is essential. Cross-Platform Game Programming covers this rarely discussed area and provides the techniques needed to develop your games effectively. It explains the plethora of problems that exist within every cross-platform game, and gives yo ...more","cross-platform,platforms,essential",
Instant Meteor JavaScript Framework Starter,"Enjoy creating a multi-page site, using the exciting new Meteor framework!","Meteor,Enjoy,site",
Stochastically Dominant Distributional Reinforcement Learning,"We describe a new approach for managing aleatoric uncertainty in the
Reinforcement Learning (RL) paradigm. Instead of selecting actions according to
a single statistic, we propose a distributional method based on the
second-order stochastic dominance (SSD) relation. This compares the inherent
dispersion of random returns induced by actions, producing a more comprehensive
and robust evaluation of the environment's uncertainty. The necessary
conditions for SSD require estimators to predict accurate second moments. To
accommodate this, we map the distributional RL problem to a Wasserstein
gradient flow, treating the distributional Bellman residual as a potential
energy functional. We propose a particle-based algorithm for which we prove
optimality and convergence. Our experiments characterize the algorithm
performance and demonstrate how uncertainty and performance are better balanced
using an \textsc{ssd} policy than with other risk measures.","SSD,distributional,uncertainty",
Prolegomena To Any Future Device Physics,"For the last 60 years, advances in conventional computing platforms have been
driven by the empirical notion known as Moores law. In its essence, Moores law
is a ubiquitous description of the exponential increase in transistor density
acting as a proxy for computing power as a function of time. While this trend
started as an interesting observation, it has evolved into a self-fulfilling
prophecy used to drive the entire semiconductor industry. Arguments for or
against the end of Moores law have proliferated and the reluctant consensus is
that Moores law will disappear. Warnings of the end of this trend have been
repeatedly thwarted by advances in many different aspects of the computing
ecosystem including materials improvements, device design, device or circuit
cleverness, and software and architectural innovations. While many have argued
the impending doom of Moores law is the ultimate roadblock imposed by atomic
length scales, quantum processes, and energy consumption limits, we contend
that Moores law must be jettisoned for a different reason: Words matter. Even
those who adamantly declare the end of Moores law still use the language of
Moores law. The inward focus of this notion imposes an intellectual tyranny
that inhibits revolutionary progress. We suggest instead a more outwardly
focused perspective and suggest a shift in language to a regime we coin the
Feynman Mandate. In this perspective, we outline the issues with the continued
use of Moores law as well as a prescription of transitioning to a new lexicon.
We outline a new, more general metric for ascertaining progress and identify
the roles of various stakeholders in this process.","Moores,law,computing",
Semi-supervised learning based on generative adversarial network: a comparison between good GAN and bad GAN approach,"Recently, semi-supervised learning methods based on generative adversarial
networks (GANs) have received much attention. Among them, two distinct
approaches have achieved competitive results on a variety of benchmark
datasets. Bad GAN learns a classifier with unrealistic samples distributed on
the complement of the support of the input data. Conversely, Triple GAN
consists of a three-player game that tries to leverage good generated samples
to boost classification results. In this paper, we perform a comprehensive
comparison of these two approaches on different benchmark datasets. We
demonstrate their different properties on image generation, and sensitivity to
the amount of labeled data provided. By comprehensively comparing these two
methods, we hope to shed light on the future of GAN-based semi-supervised
learning.","Recently,networks,attention",
Design and Evaluate Recomposited OR-AND-XOR-PUF,"Physical Unclonable Function (PUF) is a hardware security primitive with a
desirable feature of low-cost. Based on the space of challenge-response pairs
(CRPs), it has two categories:weak PUF and strong PUF. Though designing a
reliable and secure lightweight strong PUF is challenging, there is continuing
efforts to fulfill this gap due to wide range of applications enabled by strong
PUF. It was prospected that the combination of MAX and MIN bit-wise operation
is promising for improving the modeling resilience when MAX and MIN are
employed in the PUF recomposition. The main rationale lies on the fact that
each bit-wise might be mainly vulnerable to one specific type of modeling
attack, combining them can have an improved holistic resilience. This work is
to first evaluate the main PUF performance, in particular,uniformity and
reliability of the OR-AND-XOR-PUF(OAX-PUF)-(x, y, z)-OAX-PUF. Compared with the
most used l-XOR-PUF, the (x, y, z)-OAX-PUF eventually exhibits better
reliability given l=x+y+z without degrading the uniformity retaining to be 50%.
We further examine the modeling resilience of the (x, y, z)-OAX-PUF with four
powerful attacking strategies to date, which are Logistic Regression (LR)
attack, reliability assisted CMA-ES attack, multilayer perceptron (MLP) attack,
and the most recent hybrid LR-reliability attack. In comparison with the
XOR-APUF, the OAX-APUF successfully defeats the CAM-ES attack. However, it
shows no notable modeling accuracy drop against other three attacks, though the
attacking times have been greatly prolonged to LR and hybrid LR-reliability
attacks. Overall, the OAX recomposition could be an alternative lightweight
recomposition method compared to XOR towards constructing strong PUFs if the
underlying PUF, e.g., FF-APUF, has exhibited improved resilience to modeling
attack, because the OAX incurs smaller reliability degradation compared to XOR.","PUF,attack,Function",
smol: Sensing Soil Moisture using LoRa,"Technologies for environmental and agricultural monitoring are on the rise,
however, there is a lack of small, low-power, and lowcost sensing devices in
the industry. One of these monitoring tools is a soil moisture sensor. Soil
moisture has significant effects on crop health and yield, but commercial
monitors are very expensive, require manual use, or constant attention. This
calls for a simple and low-cost solution based on novel technology. In this
work, we introduce smol: Sensing Soil Moisture using LoRa, a low-cost system to
measure soil moisture using received signal strength indicator (RSSI) and
transmission power. It is compact and can be deployed in the field to collect
data automatically with little manual intervention. Our design is enabled by
the phenomenon that soil moisture attenuates wireless signals, so the signal
strength between a transmitter-receiver pair decreases. We exploit this
physical property to determine the variation in soil moisture. We designed and
tested our measurement-based prototype in both indoor and outdoor environments.
With proper regression calibration, we show soil moisture can be predicted
using LoRa parameters.","moisture,soil,low-power",
ConceptLearner: Discovering Visual Concepts from Weakly Labeled Image Collections,"Discovering visual knowledge from weakly labeled data is crucial to scale up
computer vision recognition system, since it is expensive to obtain fully
labeled data for a large number of concept categories. In this paper, we
propose ConceptLearner, which is a scalable approach to discover visual
concepts from weakly labeled image collections. Thousands of visual concept
detectors are learned automatically, without human in the loop for additional
annotation. We show that these learned detectors could be applied to recognize
concepts at image-level and to detect concepts at image region-level
accurately. Under domain-specific supervision, we further evaluate the learned
concepts for scene recognition on SUN database and for object detection on
Pascal VOC 2007. ConceptLearner shows promising performance compared to fully
supervised and weakly supervised methods.","data,labeled,weakly",
ZX Spectrum Games Code Club: Twenty fun games to code and learn,"This book is ideal for ZX Spectrum fans and beginner coders of any age that want to learn or practice building simple games. Contains 20 games specifically created for this book, from Arcade classics to more wacky game ideas.No special equipment needed! Works on...Windows Mac Original ZX Spectrum Recreated ZX Spectrum Internet Browsers: Chrome / FF etc Linux Raspberry Pi...more","Spectrum,book,Chrome",
